table with row headers in column B and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,
"Cumulative Estimates of Resident Population Change for Incorporated Places of 50,000 or More in 2020, Ranked by Percent Change: April 1, 2020 to July 1, 2022",,,,,
Rank,Geographic Area,Population Estimate,,"Change, 2020 to 2022",
390,"Troy city, Michigan","87,300","87,201",-99,-0.1
391,"Duluth city, Minnesota","86,720","86,619",-101,-0.1
392,"Terre Haute city, Indiana","58,412","58,335",-77,-0.1
393,"Bossier City city, Louisiana","62,719","62,635",-84,-0.1
394,"Great Falls city, Montana","60,464","60,382",-82,-0.1
395,"Plainfield city, New Jersey","54,598","54,513",-85,-0.2
396,"Perth Amboy city, New Jersey","55,444","55,357",-87,-0.2
397,"Bridgeport city, Connecticut","148,644","148,377",-267,-0.2
398,"Modesto city, California","218,467","218,069",-398,-0.2
399,"El Paso city, Texas","678,697","677,456","-1,241",-0.2
400,"Hoover city, Alabama","92,605","92,435",-170,-0.2
401,"Muncie city, Indiana","65,197","65,076",-121,-0.2
402,"Milford city (balance), Connecticut","50,567","50,471",-96,-0.2
403,"Nashua city, New Hampshire","91,335","91,161",-174,-0.2
404,"Harlingen city, Texas","71,824","71,678",-146,-0.2
405,"Elkhart city, Indiana","53,913","53,801",-112,-0.2
406,"Longmont city, Colorado","98,906","98,687",-219,-0.2
407,"Joliet city, Illinois","150,374","150,033",-341,-0.2
408,"Victoria city, Texas","65,529","65,372",-157,-0.2
409,"Yucaipa city, California","54,552","54,420",-132,-0.2
410,"Hollywood city, Florida","153,036","152,650",-386,-0.3
411,"Upland city, California","79,041","78,841",-200,-0.3
412,"Reading city, Pennsylvania","95,100","94,858",-242,-0.3
413,"West Jordan city, Utah","116,962","116,664",-298,-0.3
414,"Lake Forest city, California","85,862","85,638",-224,-0.3
415,"Hartford city, Connecticut","121,018","120,686",-332,-0.3
416,"Owensboro city, Kentucky","60,206","60,037",-169,-0.3
417,"Sandy Springs city, Georgia","108,068","107,763",-305,-0.3
418,"Wellington village, Florida","61,620","61,438",-182,-0.3
419,"DeSoto city, Texas","56,135","55,968",-167,-0.3
420,"Rockville city, Maryland","67,126","66,924",-202,-0.3
421,"Tulsa city, Oklahoma","413,123","411,867","-1,256",-0.3
422,"Clearwater city, Florida","117,387","117,027",-360,-0.3
423,"South Bend city, Indiana","103,436","103,110",-326,-0.3
